ASIN,Product Title,Product URL,Review No.,Review URL,Reviewer Name,Reviewer Profile,Review Rating,Review Date,Review Title,Review Description,Helpful Vote,Verified Purchase
B08BX7N9SK,"Samsung Electronics Galaxy Note 20 Ultra 5G Factory Unlocked Android Cell Phone, US Version, 128GB of Storage, Mobile Gaming Smartphone, Long-Lasting Battery, Mystic Bronze",https://www.amazon.com/Samsung-Electronics-Unlocked-Smartphone-Long-Lasting/dp/B08BX7N9SK/ref=cm_cr_arp_d_product_top?ie=UTF8,1,https://www.amazon.com/gp/customer-reviews/RHBK5RVYTAACX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08BX7N9SK,JoHn,https://www.amazon.com/gp/profile/amzn1.account.AHF2OFZAXPXOJ3ZVB4JYCCRZ3MTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,4.0 out of 5 stars,"Reviewed in the United States on August 20, 2020",The Best out there?,"Update 8/31/20 IF YOU DIDN'T RECEIVE YOUR WIRED AKG headphones, it's because Samsung decided not to add it to the box for US customers.Call Samsung USA at (800) 726-7864 to request yours for free, it's a bit of a hassle, but they sent mine at the end. You haven't been scammed if you don't find the wired headphones  in the box!Original review: I say it's the best, with a grain of salt, read the cons to know why!To start off, Samsung did an amazing job with this phone, so much that they rendered the fairly new, still very expensive, S20 Ultra, almost obsolete!But I'm not gonna review both units here, so for those of you looking for quick pros & cons, here you go.Pros:- AMAZING display, I had so many high end phones, including the IPhone 11 pro max and Google Pixel 4XL & even the note 10, but this screen here bests all of them. The high refresh rate, the beautiful colors, and the better ratio (it's a little wider than the S20 ultra for example), all this makes for an outstanding screen.- Great main camera. The pictures are just perfect in almost all light conditions. I dunno how much better is the 108 MP mode, it bothered me a little that cropping a 108 MP picture didn't yield the perfect result, but all in all, the camera is top notch, in all its modes. The videos are even better. You won't find a phone with a better main camera on the market.- The S pen is pretty useful for taking notes! I didn't feel like I needed it for anything else except, may be, for a selfie, so eventhough it isn't the biggest selling point, it's worth mentioning.- It looks great! Yup, design wise, that phone looks really good, that it feels bad putting any covers on it. I personally just ordered a very slim, transparent case & I wouldn't recommend anything else.There are some added gimmicky features that you can find almost everywhere online, but I personally loved the direct share, where I can show anything I want from my phone and cast it to a smart TV or one with a Google chrome cast attached to it, it happened a lot before that I needed to show many people at the same time, whatever it is that was on my phone, photos or a certain app, and that feature here makes it so easy.Cons:- I dunno how this isn't mentioned anywhere, but the selfie camera isn't great at all in low light conditions. Yes in the morning, outdoor, it is very good, but other than that it's just not great! I could see myself buying the next Google Pixel instead, just for this.- Battery life isn't good enough either. It's worse than my S20 Ultra, and it was no surprise, since Samsung decided to give this phone a smaller battery 🙄I find myself charging it twice a day, which really isn't practical.Just for those 2 points, added to the fact that it's a super expensive phone, I had to give it 4 stars.Now if it gets the Google Pixel software for the selfie camera, and a full day of battery life that would have been the best phone ever made! But I guess we'll have to wait for next year for that!",564 people found this helpful,No
B08BX7N9SK,"Samsung Electronics Galaxy Note 20 Ultra 5G Factory Unlocked Android Cell Phone, US Version, 128GB of Storage, Mobile Gaming Smartphone, Long-Lasting Battery, Mystic Bronze",https://www.amazon.com/Samsung-Electronics-Unlocked-Smartphone-Long-Lasting/dp/B08BX7N9SK/ref=cm_cr_arp_d_product_top?ie=UTF8,2,https://www.amazon.com/gp/customer-reviews/R2K11IIAUBTIII/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08BX7N9SK,Steve,https://www.amazon.com/gp/profile/amzn1.account.AHZUPHNJIRFDPMEX3II5CS6KGMPA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,1.0 out of 5 stars,"Reviewed in the United States on August 27, 2020",Slow and Frustrating,"To preface this, I am being forced to purchase a new device as all US networks are apparently no longer supporting Huawei devices in the very near future. I decided to give the Note a try as it seemed that it would keep up with my daily usage for work and I've always desired having the S pen.I've been using this phone for a few days now and it is soooooo slow. Apps and Google searches take way too long to load. Hotspot is just downright awful. Battery life is sub par. Fast charging is much slower than what I had. Camera doesn't quite compare to my old phone's Leica camera, which I figured it wouldn't. Not sure what kind of scam this is but I'm definitely returning it. Also didn't come with earbuds or the phone clone connector. Don't get me wrong, the phone looks great. The S pen was everything I was hoping for. The screen is spectacular and super bright. The 120hz refresh rate was cool for maybe the first 10 sec, then I realized it was a pretty worthless feature. Scrolling to the end of long page in a few seconds does me no good when I'm trying to read posts or search for information on that page.I went to AT&T to get my phone diagnosed. He tested it against his Note 20 Ultra and his phone ended up being twice as fast as mine running the same speed test, on the same network, on the same unlimited plan... all after my device took an additional 10-15 sec to connect before even starting the test.My advice, don't waste your money. Just because Samsung markets like crazy doesn't mean their phones are any good. For a flagship device and the price point, this phone falls well short of being worth it. I came from a two year old Huawei Mate 20 Pro and it's sad that Samsung can't make a phone that is able to compete with it. Not what I expected for my first Note phone. I've never been a Samsung hater by any means, but this experience just solidifies my previous viewpoint to never buy a Samsung device. Won't make that mistake again.Update:I made that mistake again... In my defense, I was hoping this was an isolated incident or just a simple case of a bad device. I ordered another unlocked Note 20 Ultra from Best Busy to compare. Unfortunately for me, it was not. That device had all the same issues. Slow network speeds with AT&T (I live in a major city so this shouldn't happen, period). This phone also didn't come with earbuds so it seems like Samsung is just getting cheap on consumers.I tried swapping the SIM card with my girlfriend's S20 and it still didn't work. All calls were sent directly to voicemail and text messages were very hit or miss. AT&T had no idea, but I'm sure it was out of the hourly employees realm to troubleshoot. I had to switch back to my Huawei Mate 20 Pro. After 10 min or so I got a couple delayed text messages that were sent days ago in response to a text I originally sent from the Note 20 Ultra. SMH...I'm just downright confused at this point. Not sure whether it's an issue with the device or with the 5G network, or both. You also can't change which network bands you want to use, ie. turn 5G off. You can only toggle 2G on and off. My buddy has full control with his Note 10+ which is really mind boggling. Either way, both phones have been returned.I'm self-employed and my phone is my lifeline. I don't have time to play these games or wait for Samsung to release an update. Such a shame because I really wanted to like this phone and I loved the S pen so far. Samsung just has a history of not being able to meet my expectations. The even bigger shame is that I can't upgrade to better Huawei device...",288 people found this helpful,Yes
B08BX7N9SK,"Samsung Electronics Galaxy Note 20 Ultra 5G Factory Unlocked Android Cell Phone, US Version, 128GB of Storage, Mobile Gaming Smartphone, Long-Lasting Battery, Mystic Bronze",https://www.amazon.com/Samsung-Electronics-Unlocked-Smartphone-Long-Lasting/dp/B08BX7N9SK/ref=cm_cr_arp_d_product_top?ie=UTF8,3,https://www.amazon.com/gp/customer-reviews/R3IMFOP88PBQTU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08BX7N9SK,Capt.Kira,https://www.amazon.com/gp/profile/amzn1.account.AEYW6HYSVZGLQM6ZQ7WYDLAQJNWQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0 out of 5 stars,"Reviewed in the United States on September 6, 2020","Flagship fail (not really, it just doesn't like magnets)","Your browser does not support HTML5 video.


   I got this on launch day and it had a defect where the S pen wasn't registering in a large circular area on the screen. Amazon sent me a replacement and it had the exact same failure. I'm done with it. I've had 2 other notes in the past and loved them, but having this almost $1500 phone fail right out of the box is where my love of the Note ends.IMPORTANT EDIT:  I Noticed this same issue occurring with my Note 10+ after I returned this phone (twice). This phenomenon was being caused by a Steelie magnetic mount on the back of the case. So if you are using a magnetic mount or have the phone close to a magnetic field, you will encounter this exact same issue.I have changed the review score to reflect this new information.",279 people found this helpful,Yes
B08BX7N9SK,"Samsung Electronics Galaxy Note 20 Ultra 5G Factory Unlocked Android Cell Phone, US Version, 128GB of Storage, Mobile Gaming Smartphone, Long-Lasting Battery, Mystic Bronze",https://www.amazon.com/Samsung-Electronics-Unlocked-Smartphone-Long-Lasting/dp/B08BX7N9SK/ref=cm_cr_arp_d_product_top?ie=UTF8,4,https://www.amazon.com/gp/customer-reviews/REL432DO4A0YG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08BX7N9SK,Amazon Customer,https://www.amazon.com/gp/profile/amzn1.account.AHTK5D7EXZ6J57Y4YVSWW5UPVQ5A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,1.0 out of 5 stars,"Reviewed in the United States on October 1, 2020",Beware Buyer!!!,"Your browser does not support HTML5 video.


   Please, do not buy your $1,300 phone on Amazon! Buy it from somewhere legit or some where you can be sure that you get what you deserve. Like Samsung Store or bestbuy. You might have to spend extra bucks, but it's more worth it!I purchased ""New"" (not ""Used"" Amazon!) Samsung Note 20 Ultra 512 GB for $1,099 and I thought it was a good deal, but I was wrong.I recieved my Note 20 Ultra 512GB today, and I was so upset to unbox this package. My first impression with this phone was so bad. The box of phone was not sealed with the plastic wrap like the new phone should have. Instead, it was sealed with the two circle stickers(one on the top left and one on the bottom right. The sign of ""Note20 Ultra 5G"" was weirdly printed. You can see from the picture that it is a little crooked. Upon further inspection, I suspect that this package might have been opened before because of the stickers seal and noises when I shaked the box, and I was right. I found a bunch of fingerprints and a pen sticking out. I popped the s-pen back in, and tried to shake the phone, and you can here that something is loosen in the video. I am not sure if this phone suppose to have this sound, but it is so unpleasant to hear and it makes this phone cheap. I spent $1000+ on this phone and I didn't expect any of these.This is not the first time Amazon turned me down. It is my fault for trusting Amazon when I know I shouldn't especially when it comes to big purchases like this. Now I learned that I might be better off with the manufacturer website if I want to purchase something like this. Buyers!!! Please, be ware!",169 people found this helpful,Yes
B08BX7N9SK,"Samsung Electronics Galaxy Note 20 Ultra 5G Factory Unlocked Android Cell Phone, US Version, 128GB of Storage, Mobile Gaming Smartphone, Long-Lasting Battery, Mystic Bronze",https://www.amazon.com/Samsung-Electronics-Unlocked-Smartphone-Long-Lasting/dp/B08BX7N9SK/ref=cm_cr_arp_d_product_top?ie=UTF8,5,https://www.amazon.com/gp/customer-reviews/R30W9NL6BNKMX6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08BX7N9SK,Alberth Jose Sierra Diaz,https://www.amazon.com/gp/profile/amzn1.account.AHQFU64PPD2UOLGGWH4JGXCMFKCA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,1.0 out of 5 stars,"Reviewed in the United States on August 25, 2020",the charger only worked for two hours.,I do not recommend buying.  the charger stopped working after just 2 hours of use.  and did not bring the headphones.,127 people found this helpful,Yes
B08BX7N9SK,"Samsung Electronics Galaxy Note 20 Ultra 5G Factory Unlocked Android Cell Phone, US Version, 128GB of Storage, Mobile Gaming Smartphone, Long-Lasting Battery, Mystic Bronze",https://www.amazon.com/Samsung-Electronics-Unlocked-Smartphone-Long-Lasting/dp/B08BX7N9SK/ref=cm_cr_arp_d_product_top?ie=UTF8,6,https://www.amazon.com/gp/customer-reviews/R393I7WPPF1D04/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08BX7N9SK,Drew,https://www.amazon.com/gp/profile/amzn1.account.AGHFUBV2KS7PVRG2IVX3JXNN56BA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0 out of 5 stars,"Reviewed in the United States on August 30, 2020",The best Phone that money can buy,"The cameras, the S-pen, the AMOLED screen quality, the 120 Hz refresh rate, the 5G data connection, the build quality, etc. are all top notch. This phone will probably hold the crown for best Android phone for a good while, and it has key feature bumps that made me especially want this phone--namely the 5G and the 120 Hz screen.I would definitely recommend a solid case if you're planning to spend this much money on a phone. I bought a Spigen case which effectively reduces the camera bump on the back to allow the phone to sit flat on a desk. The IP68 rating means that it will be fine with water and dust, but drop protection is still a must. I saw a stat recently that something like 2/3 of people report incurring drop damage to their phone (for all phones not specifically this phone).Other thoughts: I think it's interesting that most middle class people can afford the best phone that you can possibly purchase for a product that is in your pocket, everyday, all the time. You can't say that about cars, houses, clothes, but you could definitely swing buying the best phone that money can buy once every 3-4 years if it's important enough to you. For me it is, and I'm very happy with this phone.Lastly: Google Pixel, 1+, Apple, etc. can only hope to match some of the features that this phone has to offer, but I highly doubt that they will exceed this phone's specs on yet to be release products. Just my opinion as a phone guy, but the best that they could hope to do is give you a better value on specific features. If you're somebody looking for the best value on a calling and texting machine, then this phone is not for you. This phone is for somebody that wants the best cameras, pocket computing power, & screen quality that money can buy you right now.",105 people found this helpful,Yes
B08BX7N9SK,"Samsung Electronics Galaxy Note 20 Ultra 5G Factory Unlocked Android Cell Phone, US Version, 128GB of Storage, Mobile Gaming Smartphone, Long-Lasting Battery, Mystic Bronze",https://www.amazon.com/Samsung-Electronics-Unlocked-Smartphone-Long-Lasting/dp/B08BX7N9SK/ref=cm_cr_arp_d_product_top?ie=UTF8,7,https://www.amazon.com/gp/customer-reviews/R2UP7ZYV7HFO3P/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08BX7N9SK,Kash,https://www.amazon.com/gp/profile/amzn1.account.AFRRVCLF7JH7AFVDB6ZW6UMUAB7Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,1.0 out of 5 stars,"Reviewed in the United States on September 10, 2020",Packaged as new but scratched on the both metal edges,"Purchased new phone, arrived damaged. Deceptively packaged with screen protectors. Pay very close attention to the device you receive.",94 people found this helpful,Yes
B08BX7N9SK,"Samsung Electronics Galaxy Note 20 Ultra 5G Factory Unlocked Android Cell Phone, US Version, 128GB of Storage, Mobile Gaming Smartphone, Long-Lasting Battery, Mystic Bronze",https://www.amazon.com/Samsung-Electronics-Unlocked-Smartphone-Long-Lasting/dp/B08BX7N9SK/ref=cm_cr_arp_d_product_top?ie=UTF8,8,https://www.amazon.com/gp/customer-reviews/R3MVPCXQLF78EI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08BX7N9SK,rodolfo lopez,https://www.amazon.com/gp/profile/amzn1.account.AEURZWQBVDB54YCGN3ZWPW46QDNQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2.0 out of 5 stars,"Reviewed in the United States on August 23, 2020",Dull whites.,"Whites are a bit dull not as bright as my note 10+ .poor battery life, takes too long to charge. Can't use 120hz and top rez at same time.",76 people found this helpful,Yes
B08BX7N9SK,"Samsung Electronics Galaxy Note 20 Ultra 5G Factory Unlocked Android Cell Phone, US Version, 128GB of Storage, Mobile Gaming Smartphone, Long-Lasting Battery, Mystic Bronze",https://www.amazon.com/Samsung-Electronics-Unlocked-Smartphone-Long-Lasting/dp/B08BX7N9SK/ref=cm_cr_arp_d_product_top?ie=UTF8,9,https://www.amazon.com/gp/customer-reviews/R2R0BP5RXXPQ7L/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08BX7N9SK,Mr FixIt,https://www.amazon.com/gp/profile/amzn1.account.AFOEEWGAL4BOQXAUJNCKP7UGVL3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0 out of 5 stars,"Reviewed in the United States on August 23, 2020",Me ha encantado,"La pantalla se ve impresionante, se escucha mejor que ningun otro telefono que habia tenido, y hace unas fotos espectaculares, ademas que para el trabajo las funciones del lapiz me van genial, me ha encantado!",59 people found this helpful,Yes
B08BX7N9SK,"Samsung Electronics Galaxy Note 20 Ultra 5G Factory Unlocked Android Cell Phone, US Version, 128GB of Storage, Mobile Gaming Smartphone, Long-Lasting Battery, Mystic Bronze",https://www.amazon.com/Samsung-Electronics-Unlocked-Smartphone-Long-Lasting/dp/B08BX7N9SK/ref=cm_cr_arp_d_product_top?ie=UTF8,10,https://www.amazon.com/gp/customer-reviews/RRILF17DX8X1H/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08BX7N9SK,Amazon Customer,https://www.amazon.com/gp/profile/amzn1.account.AHDUS2NHRT43HHELTSKYLKMU7YVA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,1.0 out of 5 stars,"Reviewed in the United States on September 16, 2020",Returned immediately.,"It came today. When opened the box, there was some small scratches on both plastic protector and body. It seems it was previously soled, returned and reshipped.",44 people found this helpful,Yes
