ASIN,Product Title,Product URL,Review No.,Review URL,Reviewer Name,Reviewer Profile,Review Rating,Review Date,Review Title,Review Description,Helpful Vote,Verified Purchase
B07D7TV5J3,Amazon Basics Computer Speakers for Desktop or Laptop PC | USB-Powered,https://www.amazon.com/AmazonBasics-Computer-Speakers-Desktop-USB-Powered/dp/B07D7TV5J3/ref=cm_cr_arp_d_product_top?ie=UTF8,1,https://www.amazon.com/gp/customer-reviews/RXB8VY1EXTBBM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07D7TV5J3,Adam,https://www.amazon.com/gp/profile/amzn1.account.AHOI4WKRUMRPZHFRAZZT6TXRX6BQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,4.0 out of 5 stars,"Reviewed in the United States on February 18, 2019","Decent Speakers, but super bright led light is distracting","I was looking for some simple, cheap speakers for my desktop computer.  These fit that except for one thing not shown in the pictures.  There's a blue LED light on it that's more than just a little distracting.  Had I known about it, I'd have passed on the purchase.  Now that I've got them, I'm going to stick a piece of gorilla tape over that LED because it's a distraction.  I really dont know why that little blue LED has to be so bright, but otherwise I'd have given these 5 stars.",170 people found this helpful,Yes
B07D7TV5J3,Amazon Basics Computer Speakers for Desktop or Laptop PC | USB-Powered,https://www.amazon.com/AmazonBasics-Computer-Speakers-Desktop-USB-Powered/dp/B07D7TV5J3/ref=cm_cr_arp_d_product_top?ie=UTF8,2,https://www.amazon.com/gp/customer-reviews/RS7FG8QDW48ZM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07D7TV5J3,D.D. \\m//..\\m//,https://www.amazon.com/gp/profile/amzn1.account.AH2RWK4TVSWABU5JEQH3VZGKP6VA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,1.0 out of 5 stars,"Reviewed in the United States on March 1, 2019",High pitched buzz,"There is a high pitched buzz when turning on the power and increasing the volume past 10%.  Turning up my computer volume all the way makes it load enough for an office environment, while maintaining the volume on the speaker low enough not to get the feedback.  The 3.55mm passthrough is not very good.  I have moderate priced ear buds and the quality directly from the computer is excellent.  When I plug them into the speak, the quality is crap and has to remain low volume otherwise I pick up the buzzing feedback.  Oh, and the bright blue blinding light,  who the hell let that pass through quality check.  Used one day, then threw in my desk drawer, lesson learned.",135 people found this helpful,Yes
B07D7TV5J3,Amazon Basics Computer Speakers for Desktop or Laptop PC | USB-Powered,https://www.amazon.com/AmazonBasics-Computer-Speakers-Desktop-USB-Powered/dp/B07D7TV5J3/ref=cm_cr_arp_d_product_top?ie=UTF8,3,https://www.amazon.com/gp/customer-reviews/R19WP8X2S5PLVM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07D7TV5J3,Max,https://www.amazon.com/gp/profile/amzn1.account.AEVJS4QFQAZQ4REJPMF2GPOZ75WA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0 out of 5 stars,"Reviewed in the United States on May 30, 2020",Tubthumping to Tiger King,"One word: A-freakin'-mazing. Before I bought these, I was suffering from Builtinspeakeritis. I couldn't tell left from right, high from low. It affected every aspect of my life. Music seemed dull and lifeless. I watched an episode of Tiger King and found it pedestrian. My life was so incomplete that, when I went out, people looked at me like I was a nobody... if they looked at me at all.This set of speakers changed everything. Sure, the sound is tinny, and they don't get much louder than a mouse fart. But now when I'm watching COPS, I can tell whether the perp is being chased from off-screen left or off-screen right. I find myself thumping along in the tub to Chumbawamba. And Zoom meetings for work? Well, let's just say that these days I hear the voice of Renee from Accounting in my dreams.Owning these speakers has totally changed how people respond to me, too. Ladies smile at me at the grocery store now. I mean, I can't actually see them smiling, since they're wearing masks to avoid COVID-19, but I can just tell that this time the checkout girl isn't going to report me to the manager.Before buying these, I had tried everything: $100/hour online counseling with a surprisingly attractive Eastern European therapist; blue pills from a registered pharmacy in Uruguay; even subzero naked yoga (don't ask). It turns out, I could have spared my wallet (and my genitals) the pain. All I needed was this inexpensive pair of speakers—with its blindingly bright blue LED and its complete absence of bass—to get me back in the game. Now, if you'll excuse me, I have to find out more about that hottie Carole Baskin on Tiger King.",88 people found this helpful,Yes
B07D7TV5J3,Amazon Basics Computer Speakers for Desktop or Laptop PC | USB-Powered,https://www.amazon.com/AmazonBasics-Computer-Speakers-Desktop-USB-Powered/dp/B07D7TV5J3/ref=cm_cr_arp_d_product_top?ie=UTF8,4,https://www.amazon.com/gp/customer-reviews/R28OPKWR1CYKJC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07D7TV5J3,Karen O. Sharp,https://www.amazon.com/gp/profile/amzn1.account.AEJPLHONOSDBNSMILXDGV7SJX4PA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0 out of 5 stars,"Reviewed in the United States on February 13, 2019",Great little speakers,"These speakers are really great. Sound quality is really good, especially for the price. I was looking for small speakers that I could attached to my PC at work and that had an earphone jack in the front. The only really small downside is the front light is really bright. Kind of annoying so I just covered it with tape. Problem solved. I would definitely recommend.",93 people found this helpful,Yes
B07D7TV5J3,Amazon Basics Computer Speakers for Desktop or Laptop PC | USB-Powered,https://www.amazon.com/AmazonBasics-Computer-Speakers-Desktop-USB-Powered/dp/B07D7TV5J3/ref=cm_cr_arp_d_product_top?ie=UTF8,5,https://www.amazon.com/gp/customer-reviews/R1O0KU74Y6971R/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07D7TV5J3,carolyn garcia,https://www.amazon.com/gp/profile/amzn1.account.AEIP3EYEECHENSYH3A4OABQO3USA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,3.0 out of 5 stars,"Reviewed in the United States on March 23, 2019",Not what I expected,"I wanted an external speaker that would be louder than my laptop provides. I run a sewing machine while watching tv on the laptop. These will not work, it's barely above a whisper even at max loudness. I'll be sending them back and buying from a brick and mortar where I can plug them in to see how they work first. They seem like good quality; no directions came with them. They are plug and play but I didn't have the headphone jack in far enough so they seemed to not work at first.",63 people found this helpful,Yes
B07D7TV5J3,Amazon Basics Computer Speakers for Desktop or Laptop PC | USB-Powered,https://www.amazon.com/AmazonBasics-Computer-Speakers-Desktop-USB-Powered/dp/B07D7TV5J3/ref=cm_cr_arp_d_product_top?ie=UTF8,6,https://www.amazon.com/gp/customer-reviews/R11H5V0MRRUJT7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07D7TV5J3,Mason,https://www.amazon.com/gp/profile/amzn1.account.AHQPK76FW3RAJLF4BSD7RX4G77KQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,4.0 out of 5 stars,"Reviewed in the United States on March 29, 2019",Good but ANNOYING blue ON light.,"Setup is easy. Speakers are small but put out good sound.Both speakers are attached by a thick wire; not the thin cheap kind. The main speaker has another cord of the same that splits: one into your audio jack(green) and a USB for power. No need for drivers.Reason: A cheap pair I got in 2011 at a flea market for $10 finally died. Considering how long those lasted I can't complain. You're not going to get super loud sound or high base/treble. In my opinion, an average cheaper option.Packaging: Amazon Basic packaging. Three small plastic bags around each speaker and wire bundle. Item arrived in perfect condition.CON: For some reason, more tech developers are putting in these BRIGHT, annoying blue lights to indicate power. I'll get some electrical tape to cover it up. It is that bright and annoying.",46 people found this helpful,Yes
B07D7TV5J3,Amazon Basics Computer Speakers for Desktop or Laptop PC | USB-Powered,https://www.amazon.com/AmazonBasics-Computer-Speakers-Desktop-USB-Powered/dp/B07D7TV5J3/ref=cm_cr_arp_d_product_top?ie=UTF8,7,https://www.amazon.com/gp/customer-reviews/RGLUS3UPXLDG1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07D7TV5J3,Rylee McNaron,https://www.amazon.com/gp/profile/amzn1.account.AHVBQUINZFEX2EBY5AVJPXK647CQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0 out of 5 stars,"Reviewed in the United States on February 23, 2019",Way better quality than any other cheap speaker,"Fantastic!For the price I was ecstatic about the quality.Was looking for some cheap speakers for my In room projector,and these were perfect.Sometimes mistake the sound from the speakers as real time noises because it’s so clear.Absolutely love it!",51 people found this helpful,Yes
B07D7TV5J3,Amazon Basics Computer Speakers for Desktop or Laptop PC | USB-Powered,https://www.amazon.com/AmazonBasics-Computer-Speakers-Desktop-USB-Powered/dp/B07D7TV5J3/ref=cm_cr_arp_d_product_top?ie=UTF8,8,https://www.amazon.com/gp/customer-reviews/R3QMC30MKIH0GY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07D7TV5J3,bw,https://www.amazon.com/gp/profile/amzn1.account.AH7VSRPZKFMHLIGYA34M5KXHHDDA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,3.0 out of 5 stars,"Reviewed in the United States on March 7, 2019","Painfully bright LED, lightweight and tippy",Decent sound quality for the size and it's nice not to have a wall wart. Also nice basic look in matte black. Downsides: (1) The blue LED is painfully bright. I'll put black tape over it. (2) Light weight and stiff cables means that it's hard to get the speakers to stand upright on a desk. The cables tend to pull them over. These speakers are smaller than they appear. Read the dimensions.,39 people found this helpful,Yes
B07D7TV5J3,Amazon Basics Computer Speakers for Desktop or Laptop PC | USB-Powered,https://www.amazon.com/AmazonBasics-Computer-Speakers-Desktop-USB-Powered/dp/B07D7TV5J3/ref=cm_cr_arp_d_product_top?ie=UTF8,9,https://www.amazon.com/gp/customer-reviews/R2IYG7P9V6IZRJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07D7TV5J3,Terri C.,https://www.amazon.com/gp/profile/amzn1.account.AFLZUGHJNQUCW45NMM35GEL7SIXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5.0 out of 5 stars,"Reviewed in the United States on February 19, 2019",Static! New Pair Great!,"These speakers looked wonderful, but the left speaker had ""noise"" and static right out of the box.  It was very dissappointing to have to deal with return and the hassle.  Update:  the new pair work great, but having a product return code meant taking the defective ones to a store instead of being picked up by UPS delivery person.  The store was 40 miles away!  Luckily, I had to to to the city anyway;  otherwise it would have been a BIG problem.  Better to just be able to print a label and have UPS pick them up!",33 people found this helpful,Yes
B07D7TV5J3,Amazon Basics Computer Speakers for Desktop or Laptop PC | USB-Powered,https://www.amazon.com/AmazonBasics-Computer-Speakers-Desktop-USB-Powered/dp/B07D7TV5J3/ref=cm_cr_arp_d_product_top?ie=UTF8,10,https://www.amazon.com/gp/customer-reviews/R3U9C19Z2UW5OE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07D7TV5J3,Mason Ballowe,https://www.amazon.com/gp/profile/amzn1.account.AH4OLDEC6S7OHANWDFPDW4WFZ65A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,1.0 out of 5 stars,"Reviewed in the United States on June 8, 2019",do NOT buy this item.,"Pros:1: It installs easily.Con:1:The blue light, the struggle is real. Even with duct tape over it, it's blinding.2: Volume is garbage. At max volume it's about the same as my iMac built in speakers.3: If you leave them on with no output, it starts making a high pitched sound that grows in volume until you turn them off. IE, every time I stop using my computer, I have to turn the speakers off to avoid losing my sanity.WORST PRODUCT I'VE EVER BOUGHT. It's not even worth the return label.",26 people found this helpful,Yes
B07D7TV5J3,Amazon Basics Computer Speakers for Desktop or Laptop PC | USB-Powered,https://www.amazon.com/AmazonBasics-Computer-Speakers-Desktop-USB-Powered/dp/B07D7TV5J3/ref=cm_cr_arp_d_product_top?ie=UTF8,11,https://www.amazon.com/gp/customer-reviews/R1IUVR9B74OQFL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07D7TV5J3,Michael Whitaker,https://www.amazon.com/gp/profile/amzn1.account.AFD2HOMOKJKSQD3JU7H3I7WFEWWQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2.0 out of 5 stars,"Reviewed in the United States on November 14, 2019",Comes with free eye destroying laser beam,A good value for the money. I could certainly do without the eye destroying blue laser light shining out of the front. Who could possibly want a light that bright showing power status? If there is sound coming from speakers they are on. It is daytime and my eye still can't adjust to the brightness of this blue light. Please consider buying blue blocker sunglasses with these speakers. Seriously WTF?!UPDATE: RETURNED DUE TO OBNOXIOUS NOISE WHEN HEADPHONES PLUGGGED IN.,15 people found this helpful,Yes
B07D7TV5J3,Amazon Basics Computer Speakers for Desktop or Laptop PC | USB-Powered,https://www.amazon.com/AmazonBasics-Computer-Speakers-Desktop-USB-Powered/dp/B07D7TV5J3/ref=cm_cr_arp_d_product_top?ie=UTF8,12,https://www.amazon.com/gp/customer-reviews/R815XRKSVCAPL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07D7TV5J3,MzBlee,https://www.amazon.com/gp/profile/amzn1.account.AESZUYPKFXDC6LVFH6EMCQ7ZNK4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,1.0 out of 5 stars,"Reviewed in the United States on March 15, 2019",Don’t waste your money.,"Horrible speakers! You can barely hear them!!!! I was shocked that they were so low. A total waste of money. May I send them back, PLEASE???! Ugh!",18 people found this helpful,Yes
